Tweet,Suicide
here are  good morning,not suicide post
i m not safe with myself i have been suicidal for a while now i have made  attempts this year and yet nobody seems to get it i honestly cant say if i am going to kill myself today i keep breaking down crying and i dont know why i hate myself,potential suicide post
im so much happier amp better off without you weak  fake lames  leave me alone  i dont need you anyway bigslime,potential suicide post
thank you,not suicide post
what you so need to put that on the site you know cause us bloggers love free wifi awesome,not suicide post
i imagine it would be not exactly close,not suicide post
that could have been embarrassing at least you remembered this time today and not this time tomorrow small mercies,not suicide post
rt  had a feeling it was going to be a great day got to meet john stockton before the game,not suicide post
yup me too,not suicide post
im actually listening to chopin in the dark right now,not suicide post
whenever i have dreams of my mom lately its as if shes still alive and that she never went away  but then again,potential suicide post
rt  rip  i didnt know much about you but you helped out in hard times you didnt deserve to die at such a,potential suicide post
i hate feelings at this point i think i am clinging onto life waiting for the right set of circumstances to just let go my feelings keep holding me back i hate them i hate having to feel i hate each and every one of them theres something comforting about the idea of nonexistence something comforting about the idea of nothing i long for it,potential suicide post
sorry people who arent toxic and wanted be friends,potential suicide post
np lol hhmm will danny and jordan join in danny maybe jordan me hopes not,not suicide post
codeine ativan sleep meds alcohol tell me why i shouldnt i am hopeless i m ready to give up,potential suicide post
i am going to kill myself this weekend i dont see any reason to stay alive nothing has changed enough to make me want to stay i was raped as a kid and now all i am to people is a sex object good bye everyone,potential suicide post
got a crush,not suicide post
rt  if people dont want you dead can you even claim to really be alive,potential suicide post
i want to be a businessman in futer,not suicide post
mafumafu oh sh it oh g od scrambles to get everything he didnt pack,potential suicide post
yeah still chilly here too but sposed to return to normal temps this week gonna spend some time with the girls this week,not suicide post
tuesday in the great metropolis of hanover what could be better,not suicide post
long live life,not suicide post
rt  i know you think youre sad that the cowboys dont play today but any day your team cant lose is an occasion worth celebrate,not suicide post
i gained weight im one of those people everybody hates who can loose weight on a cakeandcookies diet,not suicide post
my baby is tired now,not suicide post
toothpaste if you use the whitening stuff the bleach will burn a layer of skin off,not suicide post
firstly thank you secondly is the kite runner historically off,not suicide post
this sucks man i really dont know what i am about to do anymore rash decisions after rash decision no control ove,potential suicide post
i am just a mess i ran out of meds and i havent had the strength or energy to go refill them i went to class today and ended up sitting on a sidewalk ugly crying and making people think i am a fucking headcase all i do is sleep and i never feel rested i m alone in a new town and i have no friends and all i want is someone to sit with me and talk a while i am hanging in there because i brought my cats here to this strange place and i cant just leave them to think theyve been abandoned i just took a three hour nap and all i got was a headache and still tired i have no clean laundry my room is a clusterfuck i havent combed my hair in days or eaten and instead of doing things that need donei amlying here trying to avoid intrusive self harm thoughtsi amlazy and awful and i cant get myself to stop it,potential suicide post
coming home stoked bears this afternoon with mikeyj alton towers tomorrow,not suicide post
i streamed two episodes of riverdale and i hate myself so damn much because now i have no data,potential suicide post
well thats impressive both spot  and spot,not suicide post
im so tired of living,potential suicide post
now i gotta go into the bank tomorrow and see what the fuck is going on i had problems about  weeks ago with a bi,potential suicide post
yeah cool bookshelves ive got the one with the various books that are pinned to the wall,not suicide post
cflsc enough of the shameless book plug,not suicide post
why do i get attached so easily this is the one thing i hate about myself the most i end up being my own worst enemy all the damn time,potential suicide post
rt  i just dont want to be here anymore,potential suicide post
thanks to  cant wait to get home from work tonight for some reason,not suicide post
bad habits are more difficult to identify in your work life careerinspiration careergrowth habits,not suicide post
nearly holidays on the other hand camping d d d,not suicide post
in tired of everything cant wait to die,potential suicide post
health anxiety prompting some bad thoughts in my head i have been struggling for  months now with some health issues as a  year old male my pessimistic nature just makes me think about the worst my hands and feet are currently tingling and burning i just keep picturing myself on a wheelchair being a burden to my family girlfriend and so on suicide thoughts come to my mind as i prefer to put a sudden end to everything instead of deteriorating myself day after day losing motor and cognitive functions life is already hard as it is and now my health is failing for the first time,potential suicide post
daniel won,potential suicide post
a friend i knew online from last night finally added me up on his messenger,not suicide post
leven scotlanddont want to be here anymore,potential suicide post
have you seen this link me thinks you might like it,not suicide post
there was a young man who got tired of staying in this world they called this the living world but he does not fee,potential suicide post
patient i hate myself and i want to die,potential suicide post
lol you saw that hahahawas a fun day of exploration and experimentation,not suicide post
gigglessssssss yall are awesomesauce,not suicide post
cut my wrist and black my eyes,potential suicide post
rt  since were talking abt him hey uhh remember when yanderedev said intellectually disabled people deserve to die played rapel,potential suicide post
i never knew that my grandfather  death was so hard on my mother like it is on me i guess maybe i thought she wa,potential suicide post
rt  tweets  are the real life  awkward conversation starters between strangers,potential suicide post
eating an eds waffle with icecream cream n chocolate sauce omgosh amazing,not suicide post
wow im sooo sad i had everything planned out on when i was going to leave home amp go to college in denver and yo,potential suicide post
are you expecting,not suicide post
how many times do i have to be in this position for my fucking mother to realise that if i stay here ill either ki,potential suicide post
wanted to kill him,not suicide post
comme je le dis si bien let me hate myself god fucking damn it,potential suicide post
hello people on facebook do you like the way im spamming all of your newsfeeds with twitter,not suicide post
not a lawyer but i was diagnosed with depression when i was  my brother swore up and down t,potential suicide post
getting blown out by the worst team in the league while they wearing these is whats gonna be in my suicide note,potential suicide post
maybe i think i deserve to die,potential suicide post
i m not good at pretending that i am ok so i look like shit i dont smile i still have acne i am  i have black circles under my eyes and i have a very pale skin cuz i never leave my house only when i go to school so people stare at me every day some of them point at me and they just laugh some of them give me that disgusted look and some of them just tell me that i m ugly or that i look like a fucking methhead i m so fucking depressed for many other reasons but i think this is the worst one i also have social anxiety so i dont have any friends and i never had a gf when i try to talk to someone i just turn red and its so embarrassing i have already attempted suicide last month and i still feel like shit,potential suicide post
if youre tired of living for the st and th and you need to do some immediatelylike when your regular deodora,potential suicide post
i want you to come home right after school,not suicide post
buk  cdoi dont want to be here anymore,potential suicide post
rt  this is my sisterinlaw sana on the left and her on the right its nice to hire your family members and create a conflict o,not suicide post
in debt i will kill myself on thursday i am going to stab myself in the stomach or take a lot of pills i m not sure which to do yet sorry for spelling and grammar i am sure nobody here cares anyways,potential suicide post
afternoon to you too,not suicide post
today i almost kill myself because i almost hit by a car,not suicide post
its always great to hear from actors whom ive directed trying to encourage them to join twitter,not suicide post
,not suicide post
i want to go park,not suicide post
last few hour in england,not suicide post
pleasant is right thank u v ppl ur the best,not suicide post
how many people does he wanna rip it out of really,not suicide post
i love sleeping until im finished,not suicide post
why yes she is the exceptionally talented goose that works for you and brioso well you just wouldnt understand,not suicide post
everyone follow kade,not suicide post
omg theres fires and craziness goin on and you cant go home cause of it and people are seriously,potential suicide post
lewis,not suicide post
honestly im so tired of everything and myself can i just die already,potential suicide post
i am now by  um  woooo,not suicide post
females will be fucked up in the head and blame a nigga for them being fucked upyall gotta take accountability,potential suicide post
i wanna fucking die im so tired of feeling pain constantly god i need to be left alone and cry and wallow in my misery until i feel better,potential suicide post
i dont tell people how i feel because i am pretty sure nobody cares about me even writing this brings me anxiety because i know i have to interact with people i just wish i could cry myself to sleep and never wake up no one would every truly miss me,potential suicide post
now playing j gardna ft  pistols tone trump amp drop  die alone remix dirty on street style radio,potential suicide post
bed time,not suicide post
if any of you are having a boring easter then send me a note on msn i love to chat with people my msn is ninaalbertsencom,not suicide post
you do know that you have absolutely no power yet and when you do this whole thing will be dead and forgotten,potential suicide post
rt  why is it that everyday i hate my life more and more i really feel im destined to be miserable forever,potential suicide post
daycare is so damn expensive and the only reason why im getting a discount is because the owner knows my aunt but,potential suicide post
isnt it sad that after seeing a firetruck in front of a building my first thought was to look up in case someone w,potential suicide post
hahaha how is everyone,not suicide post
just woke up good morning everyonee,not suicide post
i can t do this anymore i have no hope i m a senior in college and i just want to die i don t fit in and i feel like no one cares about me everyday i wake up and i try to tell myself that today is a new day but it doesn t work i hate everything about myself and i feel so alone i have no one i don t care how i look and i don t even want to get up in the mornings i just want to end it all end all the suffering and the pain i just want to feel nothing for my anxiety and depression to leave me alone i don t know where to turn but i just can t keep doing this anymore,potential suicide post
i hope youre planning a kennel launch party,not suicide post
trenchim not feeling happy,potential suicide post
living as a hardcore empath is so hard im tired of being nice and putting emotional labor into those who are undeserving,potential suicide post
but  characters yr last tweet wouldnt have made the cut,not suicide post
united stateswhy is everything so cancerous now like i cant even remember anymore if all this corporate crap has always been here or not but its freaking stupid i just want to watch a youtube video i dont want to be forcefed a stupid product every time i go online like its cable tv,potential suicide post
please forgive me i tried to get help i dont know what else to say i am tired of being a burden on everyone else i am tired of everyone writing me off i cant help who i am and i have tried to get help i have a plan and in a few weeks i will no longer be a part of this world,potential suicide post
i feel like my time is coming soon like i m running out of time i ve had enough and i m ready to call it quits i ve attempted before but this time i can t afford to fail i have many different pills and other ways i can end it i just need to figure out the best time when maybe tonight maybe tomorrow who knows,potential suicide post
i dont know anymore these  words make my life a living hell no matter who i say it to in the sudden absence of happiness i know only sadness i have nothing to look forward to because i have fucked my chances up at even having something decent no job no girlfriend and absolutely nothing to motivate me at this point i dont even know why i am still alive it pains me that i am alive,potential suicide post
had a nice lunch time for some work now,not suicide post
thx,not suicide post
i work with a lot of russians in the socal office and they look completely miserable whenever i see them,potential suicide post
hello world tis my first tweet,not suicide post
thats inandout,not suicide post
she want to kill him,not suicide post
suicide has now become my new world and i am desperately searching for answers because to those that knew him bes,potential suicide post
has anyone had an great success stories on twitter if so i would love to hear your story dm me,not suicide post
is awesome i do believe youre all jealous but i sorta dont wanna go to dancing tonight someone else drive me,not suicide post
got the best team in the east  vs  in the chip,not suicide post
is watching some of his old stuff on youtube ahhh the memories,not suicide post
i know i cant get all the things i want in life but when does it get to feel like at least fixing my mouth to say,potential suicide post
damn right kinda hate myself for not having the system to lay it on being poor sucks,potential suicide post
in curand voi fi pe ro thx to blogway si cnsc,not suicide post
stanford summit  short video   remebering magical funtasticroller coaster ride,not suicide post
when i was in middle school i wanted to be emo dont judge,potential suicide post
happy birthday,not suicide post
oh my god if that jim acosta did to that woman was fucking abuse what do you think trump has done to fucking women,potential suicide post
i am newly married and my husband is wonderful i love him so much we are very much in love so why am i suicidal i honestly cant figure it out  days out of  i am absolutely fine happy positive excited about life then it hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble on days like this i cant believe that anyone cares at all about me except my husband then i feel like i dont deserve him and sometimes push him away whats wrong with me what should i do i just cant shake the thought that everyone would be better off without me especially my husband,potential suicide post
nothing before blogworld expo on the schedule at this stage  have netbook will travel tho,not suicide post
thanks aylesbury audi for very quick service in fitting shiny new number plates,not suicide post
i feel like no one cares i just want to die maybe then i d feel less lonely,potential suicide post
today one year ago i lost a neighbour and friend to suicide so here is a quote that got me through my worst t,potential suicide post
hootsuite monetizing twitter  shurely shum mishtake,not suicide post
i feel sorry for my  followers cause my posts probably take up their entire page,not suicide post
morning tina  the fact is well do something with it wouldnt it be great if it was something big,not suicide post
wow just back from my longest ever non stop run  miles now i truly know what sore legs feel like delighted tho,not suicide post
greetings jason so far twitters great today thanks for taking a moment for us enjoy your swim hugs angel,not suicide post
but his blood runs through my instrument and his song is i,potential suicide post
liking it,not suicide post
tired of living this life,potential suicide post
she want to be a doctor,not suicide post
good morning   only about eight hours until noodles the only positive thing i can think of right now,not suicide post
its going to be a beautiful dayi am going to have a new granddaughter,not suicide post
you guys are mean i would never wake up my friends,potential suicide post
mesh mohm i just wanted you to know that youre the softest person came to my miserable life  oh this is sweet,potential suicide post
disappearing when you wake up but theres nothing to be afraid of even when the night changes it will never change me and you,potential suicide post
so tired of living with these niggas only   months to go,potential suicide post
god kill me literally just fuckin hang me stab me burn me alive,potential suicide post
hot chocolate xx,not suicide post
what a great feeling and never gave up well done   kept a cool head all weekend age is nothing,not suicide post
whyy dont you update somemore mom have a blessed day,not suicide post
cheated on my gf drunk and now i wanna kill myself didnt know what i was doing was shitfaced drunk an d now i am all alone with no gf and my friends hate me for cheating i dont want to feel pain anymore,potential suicide post
having someone want your love your passion your heart and your soul to return it all in kind measure this is the greatest gift of all,not suicide post
yo mate it is working like a charm be prepared to tweet my feed some interesting people to follow too if you can find them,not suicide post
rt  regional australia would be siberia without the abc,not suicide post
who the fuck looses their damn keys i hate myself,potential suicide post
i wanna die pls im tired of everything,potential suicide post
ello you were fab on doi im going to the tour tmwr cant wait xxx,not suicide post
thanks its just what i think,not suicide post
x man any tips or ideas,not suicide post
i want to be a engineer,not suicide post
i want to be out in the sun walking down a beach with joey,not suicide post
i sexually harassed my crush i feel like there is no place for me in the world for a long time now about half a year i have been touching my crush who is not interested in me without consent i work alongside him and we are both part of a very tight group of friends so he has to see me every day and every single time i try to touch him stare at him and sometimes even take pictures of him only recently i have realized the implications of what i have done and that i am hurting him i feel like i betrayed him and myself for doing something that is completely against all my values i want to change and i know i can but i amafraid i will lose the will to live if i cant get myself to stop touching him,potential suicide post
i hate when i have to rate my group members because ill always rate them higher than id rate myself knowing damn,potential suicide post
havent watched wwe since extreme rules i will now begin last nights monday night raw this is my suicide note,potential suicide post
and the consensus was,not suicide post
what are you saying about yourself,not suicide post
rt  lololololol i hate how i trust people with ugly pictures of myself and then they break that trust like lol damn ok it be lik,potential suicide post
rt  when youre trying to go out for pregame and you hear ay come take this pic with your family oh well happy,not suicide post
rt  in af call theresa may tried to flatter trump with congratulations for gop wins in the midterms he responded by berating th,not suicide post
he doesnt want to give up but hes afraid to even touch the equipment much less pack it up,not suicide post
i didnt realise you were trustee there are loads of you arent there find rase structure quite confusing,not suicide post
i feel an infinite sadness in my soul and i feel so lonely so empty so disappointed so desperate so distressed,potential suicide post
have fun bet you unearth all sorts of goodies,not suicide post
not tired,not suicide post
rt  and i hate the fact if its true dojae will do surgery dojae has to endure the pain alone  without segye  altou,potential suicide post
i want one of those,not suicide post
chillin,not suicide post
good morning,not suicide post
my workplace gets so much better when good weather strikes,not suicide post
beans on toast with simona can it get any better,not suicide post
get back to work,not suicide post
why cant i loose enough blood on my period that i just die ugh  idk go see a doctor,potential suicide post
kaycee glenni dont want to be here anymore i wish i was dead,potential suicide post
i fell in love with her courage her sincerity and her flaming self respect i love her and it is the beginning of everything,not suicide post
rt  the false information of hanyu never having to study like any other person as if he didnt have to wake up at am to take ent,potential suicide post
rt andreamvaldez trumpy bear isnt your average memebred merch gone viral it appeals to everyone and no one it,potential suicide post
hey black hair suits u by the way,not suicide post
i hate that im at war with myself daily i hate living at home like this bc im told my emotions dont matter i,potential suicide post
rt  i fucking hate my whole family all they do is making me feel fat and im so done with feeling bad about my body and const,potential suicide post
a watched pot never boiled mate  distraction is the name of the game,not suicide post
dunno why my phones done me so dirty and made videos of me and my exs cos of face recognition with the background,potential suicide post
spent  day doing research  im feeling great an achievement d,not suicide post
lol good id we should all dress up as twitt bird and listen to twit podcast all night  thanks,not suicide post
hmmm my mom well thanni thelichu vettutaanga,not suicide post
poor   fortunately you have a good sense of humor,not suicide post
crikey check out the manfrotto worshipers,not suicide post
about to open birthday presents,not suicide post
after looking at the american suicide statistics i was shocked to see that white men in their ss lead right,potential suicide post
i have amazing people in my life that encourage nothing except the positive thank you lord for blessing me,not suicide post
yeah were going to have neither but its all good hope you do,not suicide post
this is the best thing to pop on my twitter all day what cracks me up is that billy is in it too,not suicide post
i hate myself,potential suicide post
why yes xx,not suicide post
ok thanks i am not getting off twitter just yet,not suicide post
home sweet home shower time,not suicide post
just wanted to say a big thank you for being such a great airline as a travel writer things like this mean a lot,not suicide post
what bout something a bit more lofi dictation failing that one of those projected keyboards,not suicide post
i was called in yesterday at the guidance counselors office i thought i did something bad as my id was blocked i,potential suicide post
hi what the fuck have i been doing with my life lately,potential suicide post
ok everyone whos racing this weekend dm me with a picture of your car amp the make and model ill put it all up on my blog,not suicide post
i dont want them using my phone,not suicide post
cant wait until the new star trek movie comes out looks good,not suicide post
i want you to sense my magic without touch,not suicide post
when that muffin guy said please somebody kill me i felt that shit,potential suicide post
planning to do that too while in transit anyway,not suicide post
i got twitter  my ipod touch yaaaaaay,not suicide post
the orange tv iphone app is really disappointing low quality video streams and obviously nothing interesting on the tv,not suicide post
rt  if i dont love anything i cant get hurt,not suicide post
time to fly orddcaordclt hrs cltordiadmco hrs mcoord hm in time for date night,not suicide post
says just watched mall cop,not suicide post
how great is that,not suicide post
absolutely are you due in melb any time soon,not suicide post
im a fucking lunatic when i get angry its so terrible i need to work on this so bad before i end up doing somethi,potential suicide post
yea youre right its shite,not suicide post
trying to find something formal to wear in a casual closet jeans and popculture shirt will do good enough,not suicide post
im with ya there,not suicide post
rt  congratulations again to  for taking the asia regional finals title thanks to  for giving out,not suicide post
quoticequot why,not suicide post
i dont want you to start feeling neglected,not suicide post
its take me to the river from sydenee,not suicide post
even i cant run that far yet,not suicide post
its one of the perks of working for the nyse ger,not suicide post
going back to straighten my hair download some nds roms first though,not suicide post
fake news just went ballistic get ready                                 you thought fake news was bad deep fakes,potential suicide post
the thing to remember is obsessing sucks up energy you could put into that new story i say kick worry to the curb,not suicide post
hide it well from everyone,not suicide post
united kingdom what hapens if i dont want to be here anymore,potential suicide post
nd is i dont want to be here anymore by em too,potential suicide post
damn i fucken hate shopping bc then i feel sooooo broke like i cant even enjoy myself anymore,potential suicide post
i am great and wonderful i am worth it except not enough to be anyones first choice everyone tells me how wonderful i am but not enough to be loved like i love others i put aside everything for people but i am too crazy to hold a job too nothing to be really loved i am not entitled and i dont even have the right to die on my own terms and i am an asshole for being angry about it for being upset that i am there when other people treat me like shit and cant be bothered wheni amhurt,potential suicide post
why do i destroy all my opportunities am i going to kill myself on accident if i only get worse does that mean a,potential suicide post
who cares it happened and it is in the past you have nothing to apologize for hillar,potential suicide post
maybe more hugs is what i need,not suicide post
guess who just posted on universal causality me,not suicide post
god fuck im a dumb fucking idiot who called out personal instead of sick guess whos getting their third reprimand s,potential suicide post
i do i thank them for example when their code doesnt have many bugs or when they make it easy for me to automate,not suicide post
and thats why we are in the classrooms working with them right,not suicide post
like all i want to do is shove a knife into my fucking stomach i hate myself so god damn much,potential suicide post
good morning,not suicide post
i hate that im not okay i hate that i fucking want to kill myself but dont bc i dont want to leave my family st,potential suicide post
is it horrible of me that i want to commit suicide that i dont want to be here anymore,potential suicide post
i think im going to try making those newspaper thingies this year got a lot of herbs to grow,not suicide post
is on the train more shopping yay,not suicide post
gooooooood morning,not suicide post
is about to do paper works at the eve of his birthnight,not suicide post
overwhelmed and enjoy it,not suicide post
todd loves steps,not suicide post
i love you i love you,not suicide post
chillin with lucybeautiful day today,not suicide post
obviously,not suicide post
i wanna go to sleep forever and never wake up im so tired,potential suicide post
i know thats real my bf fell asleep amp im editing video xo,not suicide post
cant find any nice words for a tel domain  haha,not suicide post
i hate myself and my damn autocorrect,potential suicide post
is off to dundrum with martin,not suicide post
i had to unexpectedly put down one of my rabbits last week and it hurts like hell its bad enough when,potential suicide post
just got out of the shower nothing says wake up like body lotion in your hair,not suicide post
what was channel and time of prog politicians with no formal training bathe in simplexity a la cnutroy,not suicide post
after im gonna have a lok in d argos catalouge  summ bday pressies or look online,not suicide post
is reading through some interesting articles on our own extranet surprisingly good stuff,not suicide post
and then i stole that shirt and sold it on ebay,not suicide post
oh sounds like a top movie really i dont know who that is but they should hah,not suicide post
morninggggg how am i just up now when my alarm went off two hours a go,not suicide post
you too,not suicide post
i only have like few of thesis chapter to go and like its oso like already filled in but my lazy ass being extra da,potential suicide post
watching arthur cos im way cool,not suicide post
rt   can this please be over with im tired of everything from  to my coffee maker have a popup tel,potential suicide post
my commiserations is it as bad as i had heard it is,not suicide post
somebody just please kill me before my life gets any more stupid,potential suicide post
hey ho jared im vegan toohope youre all right,not suicide post
eating kebab in the sun sounds like a bad song title ha that one too,not suicide post
thanks  and  for the enternshipscom plugs,not suicide post
ive lost a lot of interest in nascar and dont think i will tweet from here much anymore if you still want to be friends or something you can follow my less popular twitter page  we can be friends there,potential suicide post
wow i want to die somebody fucking kill me please,potential suicide post
tweet dreams,not suicide post
playing the clarinet makes me happy,not suicide post
found st thomasand waiting,not suicide post
rt  neverforget who keeps you amp your family safe amp free,not suicide post
rt  completely devestated by the fires affecting my community i am one of the lucky ones my animals and love of my life made,not suicide post
busy dayupdate tonight,not suicide post
michael jackson is a sad existance of a man ive already met alanis so prince is my last hope keep the faith,not suicide post
hello back at ya and thank you,not suicide post
ruby ruby ruby ruby just taken delivery of my new beginning ruby book whoop whoop  another languag,not suicide post
sounds pretty fine to me and very pleased to hear that creepy is your cup of tea too,not suicide post
malese answered my question on twitter check it outt on malese her twitter its about youu,not suicide post
wheat thins and diet dr pepper  breakfast of championsor people who wakeup late and grab the first thing they can find,not suicide post
she was tired,not suicide post
rt  choose a job you love and you will never have to work a day in your life happy future our amazing students,not suicide post
hope you guys have a safe flight,not suicide post
i think im going to redecorate my living room but im tired of moving stuff around,potential suicide post
,not suicide post
fuck this shit i want to be dead so i dont have to be here anymore,potential suicide post
i have been reading about a group called dignitas in switzerland they provide assisted suicide via drugs that the member you have to become a member administers themselves anyone have any insight on americans travelling there for this purpose apparently they have helped many british and german citizens pass peacefully,potential suicide post
portland orevery kid has had a tantrum today i dont want to be here i dont want to hear anymore crying i just want to go home and pet my dog,potential suicide post
oh the puns the bad bad puns i think ill quite like the new clear sounds though x,not suicide post
these things are literally an everyday occurrence for my family ever since my parents came to this country it,potential suicide post
reminder sr release date set for easter sunday,not suicide post
rt  im so fucking tired of living im not smart im not athletic im not attractive im not talented i just have this fucking t,potential suicide post
work slave i really feel like my only purpose in life is to make a higher man money parents forcing me through college and i have too much on my plate i owe a lot of money i know this is the easy way out but i am really tired all of these issues are on top of dealing with tensions in america as well i want to rest,potential suicide post
of course,not suicide post
freekaavan another year has passed and i am still alone sad and suffering will i ever live with dignity or will,potential suicide post
and  briar copywriting an awesome combination,not suicide post
what now so i am  everyone knows i want to kill myself but nobody really acknowledges it as though even if i did it it would just be inevitable and nobody would give a shit which is true and i amfucking sick its been like  years of suicidal thoughts but over time theyve become disgustingly close to becoming reality and i am fucking scared i just want to die you know maybe i will,potential suicide post
arreeyy mad  o  watim wit u coz maine bhi intro hi start kiya,not suicide post
my life has no purpose i am broke lonely and miserable i am so my life is a sack of shit my family legitimately hate me i am poor i have some friends but dont hear from them unless i get in touch first i have been single for almost a decade generally i am ok with being single but depression grinds my world to a halt doctors dont help me nobody around me seems to understand this has gone on for  years i am tired cant do it any more i just want to lay down and die quietly all i want in life is to disappear,potential suicide post
phillies game with becca tonight,not suicide post
lol i love it,not suicide post
rt  im so tired of living in a country that has become about taking sides bitch can we all just love and respect each other,potential suicide post
have a nice day to,not suicide post
i love jesus too and im getting ready for school lt,not suicide post
update on my phone real quick it was in my car the whole god damn time i really fucking hate myself,potential suicide post
rt  jimin is so happy i love him jimin,not suicide post
you take time to think about a date but i want to take you out tomorrow to look at engagement rings,not suicide post
is a bit happier she found her chanel sunglasses,not suicide post
adam sandler before he became shit predicted my future mental state,potential suicide post
rt  incredibly sad and poignant story about suicide,potential suicide post
i got my box ill pick it up tomorrow priscilla,not suicide post
rt  my brother died from depression he also frequently exercised had supportive friendsfamily was successful in school amp i,not suicide post
rt  just keep going forward no matter what motivation success life,not suicide post
my life is way too good for me to feel so angry and miserable all the time,potential suicide post
i dont wanna fucking be here anymore,potential suicide post
but my italian is basic for now,not suicide post
haircut feeling fresh and clean,not suicide post
datagov comes to life even in the form of a jpeg image  all great things start like that,not suicide post
unfollow me now is all in gonna talk aboutfor therestof my miserable life,potential suicide post
i thought it meant you are my destiny too cause of the song hahaha and yes theyre coming,not suicide post
tired of living with childish people,potential suicide post
when my dog does end up passing on my life will seriously be a tumbling downwards spiral thats my life shes my life,potential suicide post
just watched chris moyles quiz night from last night alan carr is too funny hes the best,not suicide post
you are a big piece of the rainbowshine big shine bright and i will see you out there sparkle friends forever,not suicide post
have you had your hair cut it looks really good,not suicide post
at the end of the day im at this point in my life where i truly do not give a fuck  so if i give a fuck about you,potential suicide post
feel lucky to work with  shining young stars in healthcare honored by  under today,not suicide post
losing those  guys is huge but you gotta deal with it time to call up weber for the pp amp price to take some nyquil habs,not suicide post
i hate when i want to be selfpitying but my mind refuses to let me like damn i just wanna feel sorry for myself fo,potential suicide post
love the way skype fades music back in when a call ends im so easily impressed,not suicide post
rt  congratulations india on beating pakistan  in asiacup indvpak  thank you for the advance diwali gift,not suicide post
tell her simon quotwho used to be from tuks fmquot says hi,not suicide post
damn it have to make it a proper website one day with the help of tiff,not suicide post
at least its not raining today,not suicide post
my morning started out so bad i just want to go home and sleep forever,potential suicide post
i think it was my lack of saying anything at all that was pretty stupid when i met harry i was acting all cool and,potential suicide post
taking son to have his braces taken of big day in teen age boys life,not suicide post
thanks matt im glad you like it  no algorithmic music gigs planned so far though,not suicide post
so like if the man i end up spending the rest of my days with aint him i feel like im going to hate my life,potential suicide post
i hate my parents so much i want to kill myself to spite them especially my dad i almost do not want to have children because i do not want my dad to become a grandfather just like how he didnt want me to have a girlfriend or friends growing up i dont think i would even goto his funeral if he died i hate you from the bottom of my heart you only had me in order to chain down my mom you hated and ignored yelled at me since i was a little boy and now i hate you forever this hatred is killing me,potential suicide post
just some teething problems my new house amp i will be friends,not suicide post
asahi giant and scared please dont eat my ass spirits,potential suicide post
i am so miserable ive never been this miserable in my life he is simply baby,potential suicide post
love the videos william new to twitter x,not suicide post
ochie kmaren nervous ya pas tu kliatan tau pas aku dtg aku ngeliat ochie lg maenin tisu sampe tisuy lecek,not suicide post
cool ive got more followers people are interested,not suicide post
rt  congratulations  team thanks  much appreciated,not suicide post
tired of merely existing want to get to living,potential suicide post
i wanna kill myself im so fucking done,potential suicide post
my list is short so does that mean the my god is huge too lol,not suicide post
haha flight of the conchords was so bloody hilarious last night  chur chur,not suicide post
you or the picture cus damn both be looking so good,potential suicide post
well can you link me to it anyway,not suicide post
if i tell a psychiatrist that i am suicidal will they immediately have me shipped away and handcuffed to a bed i always lie,potential suicide post
fucking hell  prada saved the day,not suicide post
where are the easter eggs,not suicide post
rt  the kinda bad bitch thats ready to die anyday now,potential suicide post
i am so sick and tired of being blamed for everything that i am actually waiting for the day i die,potential suicide post
ohhh sending loads of positive vibes your way,not suicide post
all i have to say about studio setup is that id die without my flat files designed my whole studio around them,not suicide post
rt  hornyfact im so fucking tired of living im not smart im not athletic im not attractive im not talented i just ha,potential suicide post
tell me about it were going to try that puresleep mouth piece on tv  will let you know ifhow it works,not suicide post
congratulations on all of your accomplishments you are an amazing person inside and out,not suicide post
thats pretty cool man im not a fan but lossless ftw ill check it out,not suicide post
random thought im so glad i live in the time of gps on my cell and navi in my car bc nothing confused me m,potential suicide post
it is sickening what is sickening is we elect ppl like the lib,potential suicide post
everyone says im better off but i dont want to be i dont think that it doesnt quite matter what i think anymore so we out here,potential suicide post
landed in belfast its wee this wee that,not suicide post
haha they are a flamin distraction,not suicide post
uhuhhhh word fail its shipwreck in the sand obviously too early,not suicide post
plans have changed for the better out for a mtb ride in the sunshine now,not suicide post
i want to fucking die,potential suicide post
my uni is playing potc outside and free hotx buns i feel lovvvved,not suicide post
have a good day jessie and ill tell you for why its your birthday,not suicide post
glad to see youve toned down your sell still like the software,not suicide post
and im so sick of love songs so tired of tears im so done with wishing you were still here,potential suicide post
hope u have a good ride if the weather is decent if only the weather was like that where i live,not suicide post
second some people will still want their food grown the oldfashioned way just like how i buy heritage meats and heirloom seeds,not suicide post
stop speaking in such a sophisticated way please its hard for me to keep up,not suicide post
sitting in the sun baking in  degrees  wonderful,not suicide post
haha me too it reminds me and my daddy of the monkees old show same here cant wait lol whattt,not suicide post
i cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted i havent filled out any of my college applications because i didnt even plan on living this long i just want to die so i can stop disgracing my family and inconveniencing my mom i kind of want to be a ballistician they look at bullets from dead bodies to see what gun it came out of but honestly i am more likely to be the subject of one and i dont have any friends in or out of school why am i like this,potential suicide post
offense or defense  passive or violent i cut my wrist and my heartbeat is silent,potential suicide post
dcu su elections today,not suicide post
